GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
ERS,com.ers.util,ConnectionUtil,3,29,0,2,1,10,0,4,0,3
ERS,com.ers.repo,UserDao,180,333,68,26,3,61,44,10,0,7
ERS,com.ers.repo,ReimbursementDao,186,224,63,11,4,44,36,8,0,7
ERS,com.ers.controller,ReimbursementController,171,0,4,0,39,0,9,0,7,0
ERS,com.ers.controller,UserController,16,87,2,6,5,22,3,5,1,3
ERS,com.ers.model,Reimbursement,0,138,0,2,0,52,0,27,0,26
ERS,com.ers.model,UserRole,0,30,0,3,0,14,0,7,0,5
ERS,com.ers.model,ReimbursementStatus,0,81,6,12,0,26,6,12,0,6
ERS,com.ers.model,User,0,76,0,0,0,31,0,16,0,16
ERS,com.ers.model,ReimbursementType,0,38,0,5,0,18,0,9,0,5
ERS,com.ers.service,ReimbursementService,6,25,0,0,2,7,1,5,1,5
ERS,com.ers.service,UserService,6,26,0,0,2,7,1,5,1,5
ERS,com.ers.servlet,LoginServlet,157,0,34,0,33,0,23,0,3,0
ERS,com.ers.servlet,DataServlet,17,0,0,0,5,0,3,0,3,0
ERS,com.ers.servlet,RequestForwarder,89,23,23,5,16,5,16,4,1,2
